UserId,UserName,Verified,Location,Followers,Tweet,Date,Retweeted,Language,Likes Count,Retweeted Count,Replied Count,Quoted Count,Hashtag,scores,compound,pos,neg,neu,type,Preprocessed Tweet,fb pos,fb neg,fb neu,flair probability,flair sentiment
1663767545978183680,absmotorsin,False,"Chennai, India",8,"Ride through the city with the coolest #ATVI™ #ElectricBicycle!
📞: +91 82779 96292 | 70100 28292
#EMIAvailable

#ABS #ABSGroup #ABSMotors #ElectricCycle #ElectricBicycles #ElectricVehicles #EcoFriendly #ECycle #EBicycle #ElectricVehicle #ElectricBike #EBike #EBikes #EBicycles https://t.co/4useCPOGfg",2023-05-31 04:41:08+00:00,,en,0,0,0,0,#ATVI,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,NEUTRAL,ride citi coolest atvi ™ electricbicycl 📞 emiavail ab absgroup absmotor electriccycl electricbicycl electricvehicl ecofriendli ecycl ebicycl electricvehicl electricbik ebik ebik ebicycl http,0.08444870263338089,0.012663519009947777,0.9028877019882202,0.9994354844093324,POSITIVE
1663744155556909056,TanArrowz,False,,1933,"#MSFT’s appeal of CMA's decision to block its proposed #ATVI acq will head to a hearing wk of July 24th. The appeal sets #MSFT up for 2 summertime battles with reg: 1 against CMA and other against FTC, which commences with an evidentiary hearing on Aug 2nd
https://t.co/dtF4jjAw9X",2023-05-31 03:08:12+00:00,,en,0,0,0,0,#ATVI,"{'neg': 0.1, 'neu': 0.9, 'pos': 0.0, 'compound': -0.4404}",-0.4404,0.0,0.1,0.9,NEG,msft ’ appeal cma' decis block propos atvi acq head hear wk juli th appeal set msft summertim battl reg cma ftc commenc evidentiari hear aug nd http,0.05616649612784386,0.02112751640379429,0.9227060079574584,0.8608744740486145,POSITIVE
1663715423668371456,ceanuniverse,False,,156,"💥🇺🇸#MSFT #ATVI #mna
South Korean Regulator Also Approves Microsoft Deal - Activision

❗️TO KEEP UPDATED SUBSCRIBE",2023-05-31 01:14:01+00:00,,en,2,0,0,0,#ATVI,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,NEUTRAL,💥 🇺🇸 msft atvi mna south korean regul also approv microsoft deal activis ❗ ️to keep updat subscrib,0.14918696880340576,0.011055657640099524,0.8397573232650757,0.9461638331413268,POSITIVE
1663632939479867399,financialsooth,False,"Melbourne, Australia",5004,"🇺🇸 #MSFT #AtVi #MNA #Court
The London Court of Appeal on competition issues set the date of hearing on the Microsoft appeal for the decision of the British regulator, which blocked the merger with the act dependent Blizard
Hearing on the merits can start with 24 and",2023-05-30 19:46:16+00:00,,en,0,0,1,0,#ATVI,"{'neg': 0.098, 'neu': 0.808, 'pos': 0.094, 'compound': -0.0258}",-0.0258,0.094,0.098,0.8079999999999999,NEG,🇺🇸 msft atvi mna court london court appeal competit issu set date hear microsoft appeal decis british regul block merger act depend blizard hear merit start,0.06464545428752899,0.03503577783703804,0.9003187417984009,0.8267454504966736,NEGATIVE
1663615431318413314,financialsooth,False,"Melbourne, Australia",5004,"?🇺🇸#MSFT #ATVI #mna
the South Korean regulator also approved the Microsoft deal -",2023-05-30 18:36:41+00:00,,en,1,0,0,0,#ATVI,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,NEUTRAL,🇺🇸 msft atvi mna south korean regul also approv microsoft deal,0.0833832323551178,0.016520239412784576,0.9000965356826782,0.9813519120216371,POSITIVE
1663556340130918404,cfromhertz,False,"New York, USA",77259,"$ATVI #ATVI 

breaking this week's range and into gap on daily chart

(received deal approval w/ $MSFT in China &amp; S. Korea, still needs UK approval...) https://t.co/OziUrvtzta",2023-05-30 14:41:53+00:00,,en,3,1,0,0,#ATVI,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,NEUTRAL,atvi atvi break week' rang gap daili chart receiv deal approv w msft china korea still need uk approv ... http,0.05044405162334442,0.042375296354293816,0.907180666923523,0.9856061339378356,NEGATIVE
1663554783264010246,bti_trading,False,,13235,"$ATVI 5 minutes ☀️

Entry Signal Time: 26/5 10:20
Direction: Long
% move: 2.05%

Trade with certainty using Best Trading Indicator's support and resistance levels

https://t.co/OTjC3NIFuO

# #ATVI #stocks #stockmarket #daytrader https://t.co/SojaQJwaSf",2023-05-30 14:35:42+00:00,,en,0,0,0,0,#ATVI,"{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.9451}",0.9451,0.415,0.0,0.585,POS,atvi minut ☀ ️ entri signal time direct long move trade certainti use best trade indicator' support resist level http atvi stock stockmarket daytrad http,0.038608424365520484,0.021386468783020973,0.94000506401062,0.9808098673820496,NEGATIVE
1663502320880046081,SharesMagSteve,False,London,9327,"How Microsoft hopes to get around UK’s Activision deal blocker #MSFT $MSFT #ATVI $ATVI

Microsoft claims ‘fundamental errors’ in the CMA’s assessment of its cloud gaming services

FREE read @SHARESmag 

https://t.co/GINNUO33yn",2023-05-30 11:07:14+00:00,,en,1,1,0,0,#ATVI,"{'neg': 0.09, 'neu': 0.702, 'pos': 0.207, 'compound': 0.5423}",0.5423,0.207,0.09,0.7020000000000001,POS,microsoft hope get around uk ’ activis deal blocker msft msft atvi atvi microsoft claim ‘ fundament error ’ cma ’ assess cloud game servic free read http,0.02880887314677238,0.060973089188337326,0.9102180600166321,0.9467017650604248,NEGATIVE
1663065310524764160,absmotorsin,False,"Chennai, India",8,"Experience the thrill of cycling with #ATVI™ !

📞: +91 82779 96292 | 70100 28292.

#ABS #ABSGroup #OfferClosesSoon #EMI #ABSMotors #ElectricCycle #ElectricBicycle #ElectricVehicles #EcoFriendly #ECycle #EBicycle #ElectricVehicle #ElectricBike #EBike #EBikes #EBicycles https://t.co/q3urmvCSro",2023-05-29 06:10:42+00:00,,en,0,0,0,0,#ATVI,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",0.3612,0.111,0.0,0.889,POS,experi thrill cycl atvi ™ 📞 ab absgroup offerclosessoon emi absmotor electriccycl electricbicycl electricvehicl ecofriendli ecycl ebicycl electricvehicl electricbik ebik ebik ebicycl http,0.08748234808444977,0.012502034194767477,0.9000155925750732,0.9973958730697632,POSITIVE
1662999339466362881,TanArrowz,False,,1933,"In January, the Warcraft server launched by #NTES game 'Nishuihan' directly lifted the intellectual property content of 'World of Warcraft,' which #ATVI owns, according to the report. The court in Hangzhou will hear the cases on June 1.",2023-05-29 01:48:34+00:00,,en,1,0,0,0,#ATVI,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,NEUTRAL,januari warcraft server launch nte game nishuihan directli lift intellectu properti content world warcraft atvi own accord report court hangzhou hear case june,0.03699297457933426,0.08917396515607834,0.8738330602645874,0.80850750207901,POSITIVE
1661624166779600898,absmotorsin,False,"Chennai, India",8,"#WalkAssistMode is intended to be utilized when walking your #ATVI™, so you no longer have to force without aid. This feature comes in handy especially when you have to walk your E-bicycle up the slope.
#WalkAssistTechnology #WalkAssist #ABSMotors #ElectricBicycle #ElectricCycle https://t.co/HVPsijm5T3",2023-05-25 06:44:07+00:00,,en,0,0,0,0,#ATVI,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,NEUTRAL,walkassistmod intend util walk atvi ™ longer forc without aid featur come handi especi walk e-bicycl slope walkassisttechnolog walkassist absmotor electricbicycl electriccycl http,0.10237041860818864,0.017008785158395767,0.8806207776069641,0.7629466652870178,POSITIVE
